Gene	Score(0.95 MoE)	0.95 MoE	p-value	FDR	Score
MYC		0.003682247348557116	4.988526389304599e-05	0.0019801980198019802	0.9508922403206056
HSPA6		0.005440517215860319	4.988526389304599e-05	0.0019801980198019802	0.9281817892511819
GEMIN5		0.009845456004513607	4.988526389304599e-05	0.0019801980198019802	0.8383064839629397
CCDC86		0.009273094156757927	4.988526389304599e-05	0.0019801980198019802	0.823240509794951
NOL5A		0.01122793645046602	4.988526389304599e-05	0.0019801980198019802	0.81889874783688
IPO4		0.00959997630791272	4.988526389304599e-05	0.0019801980198019802	0.8102089795653225
RABEPK		0.013346753787903301	4.988526389304599e-05	0.0019801980198019802	0.8094933103927078
LOC201164		0.00916203646221804	4.988526389304599e-05	0.0019801980198019802	0.7915320786561205
SCFD2		0.013947236381586207	4.988526389304599e-05	0.0019801980198019802	0.7855504096278824
FAM86C		0.012214352793361518	4.988526389304599e-05	0.0019801980198019802	0.7848857471252763
SFXN4		0.01671801855722935	4.988526389304599e-05	0.0019801980198019802	0.7718408878556032
EXOSC5		0.012794773045244862	4.988526389304599e-05	0.0019801980198019802	0.7634915136492327
SORD		0.015996527321340288	4.988526389304599e-05	0.0019801980198019802	0.7496752395616298
PES1		0.01850949441849849	4.988526389304599e-05	0.0019801980198019802	0.7427105649948229
BCS1L		0.01453755334959655	4.988526389304599e-05	0.0019801980198019802	0.74142084743885
CCDC78		0.02208648143250812	4.988526389304599e-05	0.0019801980198019802	0.7243382438502418
RNU3IP2		0.013945847410215095	4.988526389304599e-05	0.0019801980198019802	0.7230337077158537
PNPT1		0.017630479356189836	4.988526389304599e-05	0.0019801980198019802	0.7169784141880119
NOL1		0.018140673223866456	4.988526389304599e-05	0.0019801980198019802	0.7149058979303994
IMP4		0.015218504677730697	4.988526389304599e-05	0.0019801980198019802	0.7137616832525145
CD3EAP		0.0201053896892759	4.988526389304599e-05	0.0019801980198019802	0.7134709693431865
KIAA0020		0.02013724489836928	4.988526389304599e-05	0.0019801980198019802	0.7111876275331874
CIRH1A		0.016064911752792566	4.988526389304599e-05	0.0019801980198019802	0.7105558384501284
OPRS1		0.019993603702629394	4.988526389304599e-05	0.0019801980198019802	0.7070025660856266
TFB2M		0.018288898521642317	4.988526389304599e-05	0.0019801980198019802	0.706498127977665
SRM		0.016336321823846492	4.988526389304599e-05	0.0019801980198019802	0.7057789160610729
C1ORF107		0.019176461986891855	4.988526389304599e-05	0.0019801980198019802	0.7036400679020063
FLJ12684		0.016106602583675272	4.988526389304599e-05	0.0019801980198019802	0.7024451580608284
NOL6		0.015274519206392964	4.988526389304599e-05	0.0019801980198019802	0.7024337626064497
FARSLA		0.01693165891851336	4.988526389304599e-05	0.0019801980198019802	0.6987799327231555
WDR21A		0.019632989315296456	4.988526389304599e-05	0.0019801980198019802	0.6986528371498418
