Gene	Score	0.95 MoE	P-Value	FDR
CCDC86	0.8659400782656799	0.0029420832064222945	4.988526389304599e-05	0.0017793594306049821
HSPA6	0.8659303527392107	0.003096076457236994	4.988526389304599e-05	0.0017793594306049821
IPO4	0.8659001121878026	0.0031153238841341345	4.988526389304599e-05	0.0017793594306049821
GEMIN5	0.8658863384737819	0.0030151506409184835	4.988526389304599e-05	0.0017793594306049821
LOC201164	0.8658812213931364	0.003586070813330594	4.988526389304599e-05	0.0017793594306049821
EXOSC5	0.8657682142788183	0.0034697108723022504	4.988526389304599e-05	0.0017793594306049821
NOL5A	0.865725595816508	0.0034081822601626757	4.988526389304599e-05	0.0017793594306049821
MYC	0.865473709233264	0.003305704337534614	4.988526389304599e-05	0.0017793594306049821
FAM86C	0.8649695883381807	0.0027354683636498962	4.988526389304599e-05	0.0017793594306049821
RNU3IP2	0.8647638382158676	0.002997595001179198	4.988526389304599e-05	0.0017793594306049821
METTL1	0.8645220591250513	0.0028022170320738267	4.988526389304599e-05	0.0017793594306049821
SCFD2	0.8642113153672808	0.003194715828742412	4.988526389304599e-05	0.0017793594306049821
IMP4	0.8641901711956355	0.003078257615791974	4.988526389304599e-05	0.0017793594306049821
BCS1L	0.8638153644370564	0.003458413718952679	4.988526389304599e-05	0.0017793594306049821
RABEPK	0.8627031705482984	0.0029969702103067857	4.988526389304599e-05	0.0017793594306049821
SORD	0.8626978909280214	0.0027343439137702407	4.988526389304599e-05	0.0017793594306049821
SLC6A15	0.8626030829752859	0.003003938013602082	4.988526389304599e-05	0.0017793594306049821
C11ORF48	0.8625994125169328	0.0033475692701993927	4.988526389304599e-05	0.0017793594306049821
UTP20	0.8624203528494587	0.0031716166455820673	4.988526389304599e-05	0.0017793594306049821
MGC2408	0.8622454805078545	0.0032689429134981234	4.988526389304599e-05	0.0017793594306049821
DUSP2	0.8621786628310617	0.003827460985597083	4.988526389304599e-05	0.0017793594306049821
NOL6	0.8621029439467404	0.0029574548843575685	4.988526389304599e-05	0.0017793594306049821
SRM	0.8615552451114246	0.002934137243811104	4.988526389304599e-05	0.0017793594306049821
TMEM97	0.8613578436990237	0.0030736734226027075	4.988526389304599e-05	0.0017793594306049821
C1ORF51	0.8611940606160847	0.0031512239907578775	4.988526389304599e-05	0.0017793594306049821
ZNF667	0.861056216012538	0.003350281104585235	4.988526389304599e-05	0.0017793594306049821
PFKM	0.8605776659515023	0.002897764438918843	4.988526389304599e-05	0.0017793594306049821
PES1	0.8605313757564119	0.00342349428869201	4.988526389304599e-05	0.0017793594306049821
SUPV3L1	0.85992313652708	0.0032614554329876053	4.988526389304599e-05	0.0017793594306049821
FARSLB	0.8598823868364217	0.0033042033109797753	4.988526389304599e-05	0.0017793594306049821
RPP40	0.8589568050246987	0.0031855950497918758	4.988526389304599e-05	0.0017793594306049821
PTRH2	0.8587042893776085	0.003967672467974796	4.988526389304599e-05	0.0017793594306049821
C1ORF107	0.8584482228949644	0.00372246996130801	4.988526389304599e-05	0.0017793594306049821
MGC16597	0.8581620716750472	0.003513380078557862	4.988526389304599e-05	0.0017793594306049821
NOLC1	0.8577690563751785	0.002827783340144817	4.988526389304599e-05	0.0017793594306049821
SFXN4	0.8572757867118445	0.0031893076923834767	4.988526389304599e-05	0.0017793594306049821
FBXO41	0.8554705885734891	0.004499569168976096	4.988526389304599e-05	0.0017793594306049821
PCYOX1L	0.8544283119725321	0.003904829453715717	4.988526389304599e-05	0.0017793594306049821
CDK4	0.8542517335065166	0.0033868026377364127	4.988526389304599e-05	0.0017793594306049821
C10ORF61	0.8536150104330157	0.004999489398482581	4.988526389304599e-05	0.0017793594306049821
ALG3	0.8534196416723473	0.0038488352056994923	4.988526389304599e-05	0.0017793594306049821
PNPT1	0.8533745330895174	0.0038761613420237404	4.988526389304599e-05	0.0017793594306049821
NLE1	0.8527690567083503	0.003711152445217956	4.988526389304599e-05	0.0017793594306049821
TTLL12	0.8525311732010517	0.0042643518007865954	4.988526389304599e-05	0.0017793594306049821
WDR12	0.8524263492430064	0.0035668852975063586	4.988526389304599e-05	0.0017793594306049821
LOC646762	0.8524174155754103	0.005395610019640092	4.988526389304599e-05	0.0017793594306049821
SLC19A1	0.8523348749745221	0.004404853627015779	4.988526389304599e-05	0.0017793594306049821
FLJ12684	0.8522926440761145	0.004182202676910227	4.988526389304599e-05	0.0017793594306049821
C19ORF48	0.8514295588499395	0.003730642908339046	4.988526389304599e-05	0.0017793594306049821
DDX10	0.8514141223014139	0.003071436882435664	4.988526389304599e-05	0.0017793594306049821
WDR74	0.8509077946455934		4.988526389304599e-05	0.0017793594306049821
BID	0.8503769679068117		4.988526389304599e-05	0.0017793594306049821
FARSLA	0.8501867305447365		4.988526389304599e-05	0.0017793594306049821
PYCR1	0.8489394223357211		4.988526389304599e-05	0.0017793594306049821
PAICS	0.8488891756607647		4.988526389304599e-05	0.0017793594306049821
UBIAD1	0.8481749063770411		4.988526389304599e-05	0.0017793594306049821
PA2G4	0.8474950883028314		4.988526389304599e-05	0.0017793594306049821
UTP14A	0.8473081623792574		4.988526389304599e-05	0.0017793594306049821
CCDC78	0.8463915521919513		4.988526389304599e-05	0.0017793594306049821
ABCC4	0.8460806168244197		4.988526389304599e-05	0.0017793594306049821
AGPAT5	0.8460560151622877		4.988526389304599e-05	0.0017793594306049821
KIAA1553	0.8460354789974818		4.988526389304599e-05	0.0017793594306049821
TRMT1	0.8459804237920675		4.988526389304599e-05	0.0017793594306049821
NOL1	0.8456728178249578		4.988526389304599e-05	0.0017793594306049821
WDR21A	0.8452280111800001		4.988526389304599e-05	0.0017793594306049821
STEAP3	0.8452203520505703		4.988526389304599e-05	0.0017793594306049821
AHSA1	0.8451874493092509		4.988526389304599e-05	0.0017793594306049821
PLA2G4A	0.8448859398724395		4.988526389304599e-05	0.0017793594306049821
CIRH1A	0.8447378374362005		4.988526389304599e-05	0.0017793594306049821
PMM2	0.8442567872580989		4.988526389304599e-05	0.0017793594306049821
C4ORF9	0.8426375062622996		4.988526389304599e-05	0.0017793594306049821
ARIH2	0.8420364894181012		4.988526389304599e-05	0.0017793594306049821
C1ORF33	0.8409193718692618		4.988526389304599e-05	0.0017793594306049821
IGFBP5	0.8405853688200455		4.988526389304599e-05	0.0017793594306049821
DPH1	0.8400841340467317		4.988526389304599e-05	0.0017793594306049821
HSPC111	0.8399994414926265		4.988526389304599e-05	0.0017793594306049821
DKC1	0.8399510283387756		4.988526389304599e-05	0.0017793594306049821
EDNRA	0.8398940075752059		4.988526389304599e-05	0.0017793594306049821
TAF4B	0.8398336513055301		4.988526389304599e-05	0.0017793594306049821
FAM100A	0.8384362582461541		4.988526389304599e-05	0.0017793594306049821
ATIC	0.8382156169506346		4.988526389304599e-05	0.0017793594306049821
ALG1	0.8381145670894753		4.988526389304599e-05	0.0017793594306049821
SLC25A19	0.8376975552503001		4.988526389304599e-05	0.0017793594306049821
C16ORF14	0.837557524285307		4.988526389304599e-05	0.0017793594306049821
DDX18	0.8374067014779416		4.988526389304599e-05	0.0017793594306049821
SOX12	0.8369900277310086		4.988526389304599e-05	0.0017793594306049821
COASY	0.8357845107410526		4.988526389304599e-05	0.0017793594306049821
NPM1	0.8353357046806915		4.988526389304599e-05	0.0017793594306049821
FLJ32549	0.8352322939656283		4.988526389304599e-05	0.0017793594306049821
HS6ST2	0.8351345139740477		4.988526389304599e-05	0.0017793594306049821
FLAD1	0.8348622226774954		4.988526389304599e-05	0.0017793594306049821
MON1A	0.8348432719119975		4.988526389304599e-05	0.0017793594306049821
GPD1L	0.8347269040763123		4.988526389304599e-05	0.0017793594306049821
JTV1	0.8344977240622999		4.988526389304599e-05	0.0017793594306049821
ALDH1B1	0.8343207355907493		4.988526389304599e-05	0.0017793594306049821
SLC29A2	0.8341199915162608		4.988526389304599e-05	0.0017793594306049821
PRR5	0.8335674617903648		4.988526389304599e-05	0.0017793594306049821
PCOLCE2	0.833514798260715		4.988526389304599e-05	0.0017793594306049821
PARVB	0.8333077678696112		4.988526389304599e-05	0.0017793594306049821
MCM3	0.8330349712356955		4.988526389304599e-05	0.0017793594306049821
LOC152217	0.832596413096937		4.988526389304599e-05	0.0017793594306049821
DHODH	0.8322632354351491		4.988526389304599e-05	0.0017793594306049821
LOC153364	0.8321782333799722		4.988526389304599e-05	0.0017793594306049821
NCL	0.8317905917002026		4.988526389304599e-05	0.0017793594306049821
BXDC1	0.8310113736399913		4.988526389304599e-05	0.0017793594306049821
TYW3	0.8294953644422592		4.988526389304599e-05	0.0017793594306049821
FEM1A	0.8294455929817589		4.988526389304599e-05	0.0017793594306049821
EMR2	0.8294376172370972		4.988526389304599e-05	0.0017793594306049821
MRPL12	0.8293547617203403		4.988526389304599e-05	0.0017793594306049821
TFB2M	0.8290967812237401		4.988526389304599e-05	0.0017793594306049821
PUS7	0.8276375364033657		4.988526389304599e-05	0.0017793594306049821
SLC27A2	0.8274053554917506		4.988526389304599e-05	0.0017793594306049821
HSPA1B	0.8265024695668858		4.988526389304599e-05	0.0017793594306049821
UMPS	0.8260460812397499		4.988526389304599e-05	0.0017793594306049821
ASS1	0.8257024960067473		4.988526389304599e-05	0.0017793594306049821
PRMT1	0.8254647446057004		4.988526389304599e-05	0.0017793594306049821
LHX6	0.8250949171812281		4.988526389304599e-05	0.0017793594306049821
ALKBH2	0.8244106724598197		4.988526389304599e-05	0.0017793594306049821
TRAP1	0.8232594197305699		4.988526389304599e-05	0.0017793594306049821
WDR36	0.8230849173838407		4.988526389304599e-05	0.0017793594306049821
