"Geneid","Length","NT_shRNA_hepg2_rep1","NT_shRNA_hepg2_rep2","TARDBP_shRNA_hepg2_rep1","TARDBP_shRNA_hepg2_rep2"
"ENSG00000227232.5_2",1351,27,42,40,35
"ENSG00000238009.6_6",3726,0,4,4,8
"ENSG00000237683.5",2661,22,20,16,27
"ENSG00000239906.1_5",323,6,2,3,7
"ENSG00000241860.6_5",6195,26,32,35,35
"ENSG00000228463.4",3954,77,69,63,67
"ENSG00000230021.10_5",5495,63,77,35,36
"ENSG00000225972.1_4",372,883,860,633,1157
"ENSG00000225630.1_4",1044,2675,2356,2215,2931
"ENSG00000237973.1_4",1543,7236,7633,8192,11033
"ENSG00000229344.1_4",682,6579,6006,5471,8212
"ENSG00000240409.1_4",207,84,76,70,75
"ENSG00000248527.1_4",681,2947,2905,2516,3670
"ENSG00000198744.5_4",547,7848,8288,6496,7823
"ENSG00000228327.3_6",6432,521,585,645,653
"ENSG00000235373.1",4860,1,5,1,1
"ENSG00000237491.8_5",5517,145,127,123,133
"ENSG00000230092.7_5",872,15,5,5,12
"ENSG00000228794.8_4",9470,152,192,227,256
"ENSG00000225880.5_4",1317,46,57,44,38
"ENSG00000187634.11_5",4166,5,3,1,1
"ENSG00000188976.10_2",5539,2214,2947,1573,1454
"ENSG00000187961.13_4",3395,306,402,340,333
"ENSG00000187583.10_3",2833,108,100,43,58
"ENSG00000187642.9_2",3424,8,13,4,0
"ENSG00000272512.1_5",2086,6,17,21,19
"ENSG00000188290.10_3",1118,24,43,37,40
"ENSG00000187608.9_5",941,39,51,82,62
"ENSG00000231702.2_5",154,2,5,2,5
"ENSG00000188157.14_4",10758,2756,4188,5279,4877
"ENSG00000217801.9_5",2171,139,206,160,97
"ENSG00000237330.2_2",1902,2,8,0,0
"ENSG00000131591.17_5",6322,127,208,95,95
"ENSG00000223823.1_4",1620,2,6,8,3
"ENSG00000272141.1_5",987,1,4,9,6
"ENSG00000078808.16_2",4709,2832,3699,3729,3176
"ENSG00000176022.5_4",2816,278,294,369,358
"ENSG00000184163.3_2",1794,2,4,0,6
"ENSG00000160087.20_3",4712,409,538,384,314
"ENSG00000230415.1_4",513,9,8,19,19
"ENSG00000162572.20_2",4025,47,58,112,115
"ENSG00000131584.18_2",8809,723,1073,1399,1297
"ENSG00000169972.11_2",2489,65,72,77,57
"ENSG00000127054.20_3",8220,1590,1762,1618,1643
"ENSG00000240731.1_6",386,18,28,33,35
"ENSG00000224051.6_2",2556,239,378,305,368
"ENSG00000169962.4_2",3433,4,8,13,6
"ENSG00000107404.19_4",3814,606,835,741,610
"ENSG00000162576.16_2",3622,535,762,781,744
"ENSG00000175756.13_2",1669,463,672,412,344
"ENSG00000221978.11_3",6850,3526,4189,5739,5153
"ENSG00000224870.6_5",2525,326,395,374,316
"ENSG00000242485.5_2",2788,607,721,447,434
"ENSG00000272455.1_5",1523,27,44,43,30
"ENSG00000235098.8_3",2644,341,336,288,290
"ENSG00000225905.1_5",543,0,5,2,0
"ENSG00000205116.3_2",492,6,5,1,17
"ENSG00000225285.1_4",851,12,21,2,4
"ENSG00000179403.11_3",5065,848,1343,796,615
"ENSG00000215915.9_3",3976,127,98,119,188
"ENSG00000160072.19_2",7682,428,602,396,365
